"id","visit_id","user_id","outlet_id","visit_type","question_id","rating","answer_text","answer_number","created_at","status","voice_text","image_path","video_path","audio_path"
"1","46","2","50",,"15","5",NULL,NULL,"2026-05-19 12:21:58","submitted","I think more product knowledge to be given and some training sessions to be scheduled for these doctors.",NULL,NULL,"/uploads/feedback/1779193317410-283022454"
"2","46","2","50",,"16","5",NULL,NULL,"2026-05-19 12:21:58","submitted",NULL,"/uploads/feedback/1779193317411-693224282.jpg",NULL,NULL
"3","46","2","50",,"17","5",NULL,NULL,"2026-05-19 12:21:58","submitted",NULL,NULL,NULL,NULL
"4","46","2","50",,"18",NULL,"Nothing all ok",NULL,"2026-05-19 12:21:58","submitted",NULL,NULL,NULL,NULL
"5","46","2","50",,"19",NULL,"More training sessions",NULL,"2026-05-19 12:21:58","submitted",NULL,NULL,NULL,NULL
"6","1","2","49",,"1","5",NULL,NULL,"2026-05-19 12:40:00","submitted","Working very well. I think more stock to be pushed to the outlet.",NULL,NULL,"/uploads/feedback/1779194399151-434041870"
"7","1","2","49",,"2","3",NULL,NULL,"2026-05-19 12:40:00","submitted","Overall it's good, but the execution of the poster could be better.",NULL,NULL,"/uploads/feedback/1779194399151-87349560"
"8","1","2","49",,"3","5",NULL,NULL,"2026-05-19 12:40:00","submitted",NULL,"/uploads/feedback/1779194399154-463027485.jpg",NULL,NULL
"9","1","2","49",,"4",NULL,"The retiler knowledge of the product",NULL,"2026-05-19 12:40:00","submitted",NULL,NULL,NULL,NULL
"10","1","2","49",,"5",NULL,NULL,NULL,"2026-05-19 12:40:00","submitted",NULL,NULL,"/uploads/feedback/1779194399189-923135227.mp4",NULL
"11","2","2","51",,"15","5",NULL,NULL,"2026-05-19 13:20:12","submitted","The outlet aggregation is good, however, top depths need to be increased.","/uploads/feedback/1779196810919-906860744.jpg",NULL,"/uploads/feedback/1779196810929-900500297"
"12","2","2","51",,"16","5",NULL,NULL,"2026-05-19 13:20:12","submitted",NULL,NULL,NULL,NULL
"13","2","2","51",,"17",NULL,NULL,NULL,"2026-05-19 13:20:12","submitted",NULL,NULL,NULL,NULL
"14","2","2","51",,"18",NULL,"Ol",NULL,"2026-05-19 13:20:12","submitted",NULL,NULL,NULL,NULL
